Category,BodyPart,Type of Muscle,Level,Title,Desc,Type,Equipment,Workout,Sets,Reps per Set,Rating,RatingDesc,Goal
Home,Abs,Upper,Intermediate,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Bands,Leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Bands,Bicycle crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Bands,Russian twists,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Bands,Hanging leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Bands,Plank,30-60 seconds,1,,,Gain Muscle
Home,Abs,Upper,Intermediate,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Upper,Intermediate,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Bicycle crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Russian twists,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Hanging leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Bands,Plank,30-60 seconds,1,,,Gain Muscle
Home,Abs,Upper,Intermediate,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Bands,Crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Upper,Intermediate,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Bands,Leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Bands,Bicycle crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Bands,Russian twists,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Bands,Hanging leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Bands,Plank,30-60 seconds,1,,,Gain Muscle
Home,Abs,Upper,Intermediate,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Bands,Crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Upper,Intermediate,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Bands,Leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Bands,Bicycle crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Bands,Russian twists,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Bands,Hanging leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Bands,Plank,30-60 seconds,1,,,Gain Muscle
Home,Abs,Upper,Intermediate,FYR2 Banded Frog Pump,,Strength,Bands,Crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Upper,Intermediate,FYR2 Banded Frog Pump,,Strength,Bands,Leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,FYR2 Banded Frog Pump,,Strength,Bands,Bicycle crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,FYR2 Banded Frog Pump,,Strength,Bands,Russian twists,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,FYR2 Banded Frog Pump,,Strength,Bands,Hanging leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,FYR2 Banded Frog Pump,,Strength,Bands,Plank,30-60 seconds,1,,,Gain Muscle
Home,Abs,Upper,Intermediate,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Bands,Crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Upper,Intermediate,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Bands,Leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Bands,Bicycle crunches,3-4,10-15,,,Gain Muscle
Home,Abs,Middle,Intermediate,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Bands,Russian twists,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Bands,Hanging leg raises,3-4,10-15,,,Gain Muscle
Home,Abs,Lower,Intermediate,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Bands,Plank,30-60 seconds,1,,,Gain Muscle
Gym,Abs,Upper,Intermediate,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Crunches,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Upper,Intermediate,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Leg raises,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Middle,Intermediate,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Bicycle crunches,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Middle,Intermediate,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Russian twists,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Lower,Intermediate,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Hanging leg raises,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Lower,Intermediate,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Plank,30-60 seconds,1,8.9,Average,Gain Muscle
Gym,Abs,Upper,Intermediate,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Crunches,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Upper,Intermediate,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Leg raises,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Middle,Intermediate,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Bicycle crunches,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Middle,Intermediate,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Russian twists,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Lower,Intermediate,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Hanging leg raises,3-4,10-15,8.9,Average,Gain Muscle
Gym,Abs,Lower,Intermediate,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Plank,30-60 seconds,1,8.9,Average,Gain Muscle
Gym,Abs,Upper,Intermediate,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Barbell,Crunches,3-4,10-15,8.5,Average,Gain Muscle
Gym,Abs,Upper,Intermediate,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Barbell,Leg raises,3-4,10-15,8.5,Average,Gain Muscle
Gym,Abs,Middle,Intermediate,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Barbell,Bicycle crunches,3-4,10-15,8.5,Average,Gain Muscle
Gym,Abs,Middle,Intermediate,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Barbell,Russian twists,3-4,10-15,8.5,Average,Gain Muscle
Gym,Abs,Lower,Intermediate,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Barbell,Hanging leg raises,3-4,10-15,8.5,Average,Gain Muscle
Gym,Abs,Lower,Intermediate,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Barbell,Plank,30-60 seconds,1,8.5,Average,Gain Muscle
Gym,Abs,Upper,Beginner,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Barbell,Crunches,3-4,10-15,8.3,Average,Gain Muscle
Gym,Abs,Upper,Beginner,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Barbell,Leg raises,3-4,10-15,8.3,Average,Gain Muscle
Gym,Abs,Middle,Beginner,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Barbell,Bicycle crunches,3-4,10-15,8.3,Average,Gain Muscle
Gym,Abs,Middle,Beginner,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Barbell,Russian twists,3-4,10-15,8.3,Average,Gain Muscle
Gym,Abs,Lower,Beginner,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Barbell,Hanging leg raises,3-4,10-15,8.3,Average,Gain Muscle
Gym,Abs,Lower,Beginner,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Barbell,Plank,30-60 seconds,1,8.3,Average,Gain Muscle
Gym,Abs,Upper,Beginner,Barbell Side Bend,,Strength,Barbell,Crunches,3-4,10-15,7.0,Average,Gain Muscle
Gym,Abs,Upper,Beginner,Barbell Side Bend,,Strength,Barbell,Leg raises,3-4,10-15,7.0,Average,Gain Muscle
Gym,Abs,Middle,Beginner,Barbell Side Bend,,Strength,Barbell,Bicycle crunches,3-4,10-15,7.0,Average,Gain Muscle
Gym,Abs,Middle,Beginner,Barbell Side Bend,,Strength,Barbell,Russian twists,3-4,10-15,7.0,Average,Gain Muscle
Gym,Abs,Lower,Beginner,Barbell Side Bend,,Strength,Barbell,Hanging leg raises,3-4,10-15,7.0,Average,Gain Muscle
Gym,Abs,Lower,Beginner,Barbell Side Bend,,Strength,Barbell,Plank,30-60 seconds,1,7.0,Average,Gain Muscle
Gym,Abs,Upper,Intermediate,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Barbell,Crunches,3-4,10-15,4.7,Average,Gain Muscle
Gym,Abs,Upper,Intermediate,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Barbell,Leg raises,3-4,10-15,4.7,Average,Gain Muscle
Gym,Abs,Middle,Intermediate,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Barbell,Bicycle crunches,3-4,10-15,4.7,Average,Gain Muscle
Gym,Abs,Middle,Intermediate,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Barbell,Russian twists,3-4,10-15,4.7,Average,Gain Muscle
Gym,Abs,Lower,Intermediate,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Barbell,Hanging leg raises,3-4,10-15,4.7,Average,Gain Muscle
Gym,Abs,Lower,Intermediate,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Barbell,Plank,30-60 seconds,1,4.7,Average,Gain Muscle
Gym,Abs,Upper,Intermediate,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Barbell,Crunches,3-4,10-15,,,Gain Muscle
Gym,Abs,Upper,Intermediate,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Barbell,Leg raises,3-4,10-15,,,Gain Muscle
Gym,Abs,Middle,Intermediate,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Barbell,Bicycle crunches,3-4,10-15,,,Gain Muscle
Gym,Abs,Middle,Intermediate,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Barbell,Russian twists,3-4,10-15,,,Gain Muscle
Gym,Abs,Lower,Intermediate,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Barbell,Hanging leg raises,3-4,10-15,,,Gain Muscle
Gym,Abs,Lower,Intermediate,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Barbell,Plank,30-60 seconds,1,,,Gain Muscle
Gym,Abs,Upper,Intermediate,Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Barbell,Crunches,3-4,10-15,,,Gain Muscle
